title,listed_in,description,new_description,cluster_id,,,
Zipi & Zape y la Isla del Capitan,"Children & Family Movies, Comedies","At Christmas, Zip and Zap take a trip with their parents to a remote island, where a friendly woman runs a children's home and mystery awaits.",at christmas zip and zap take a trip with their parents to a remote island where a friendly woman runs a children s home and mystery awaits,9,,,
Okja,"Action & Adventure, Comedies, Dramas","A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics.",a gentle giant and the girl who raised her are caught in the crossfire between animal activism corporate greed and scientific ethics,4,,,
Chris D'Elia: Man on Fire,Stand-Up Comedy,"Unbridled comic Chris D'Elia reconsiders his approach to major life events like marriage, not having kids and buying pants for your friends.",unbridled comic chris d elia reconsiders his approach to major life events like marriage not having kids and buying pants for your friends,8,,,
I Am Michael,"Dramas, LGBTQ Movies",Gay activist Michael Glatze begins a painful journey when he decides to renounce his sexuality for his religion in this drama based on true story.,gay activist michael glatze begins a painful journey when he decides to renounce his sexuality for his religion in this drama based on true story,1,,,
Nobody Speak: Trials of the Free Press,Documentaries,"Hulk Hogan's court case against Gawker Media sheds light on wealthy, powerful figures who challenge freedom of the press in order to silence critics.",hulk hogan s court case against gawker media sheds light on wealthy powerful figures who challenge freedom of the press in order to silence critics,4,,,
You Get Me,"Dramas, Thrillers","After a one-night stand, Holly develops a dangerous obsession with Tyler and transfers to his high school, desperate to keep their ""romance"" alive.",after a one night stand holly develops a dangerous obsession with tyler and transfers to his high school desperate to keep their romance alive,24,,,
Dangal,"Dramas, International Movies, Sports Movies",A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,a once promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the commonwealth games,2,,,
Puss in Book: Trapped in an Epic Tale,"Children & Family Movies, Comedies","After tumbling into a magic storybook, Puss in Boots must fight, dance and romance his way through wild adventures as he searches for an escape.",after tumbling into a magic storybook puss in boots must fight dance and romance his way through wild adventures as he searches for an escape,10,,,
Rory Scovel Tries Stand-Up for the First Time,Stand-Up Comedy,"Comedian Rory Scovel storms the stage in Atlanta, where he shares unfocused thoughts about things that mystify him, relationships and the ""Thong Song.""",comedian rory scovel storms the stage in atlanta where he shares unfocused thoughts about things that mystify him relationships and the thong song,6,,,
Counterpunch,"Documentaries, Sports Movies","As boxing's popularity wanes, three fighters at different stages of their career make sacrifices to pursue their dreams of becoming champions.",as boxing s popularity wanes three fighters at different stages of their career make sacrifices to pursue their dreams of becoming champions,2,,,
What the Health,Documentaries,"This film examines the link between diet and disease, and the billions of dollars at stake in the healthcare, pharmaceutical and food industries.",this film examines the link between diet and disease and the billions of dollars at stake in the healthcare pharmaceutical and food industries,3,,,
Kanavu Variyam,"Comedies, Dramas, International Movies","Despite doubts from fellow villagers who think heâ€™s crazy, an ambitious dropout commits himself to solving a persistent local electricity crisis.",despite doubts from fellow villagers who think heâ€™s crazy an ambitious dropout commits himself to solving a persistent local electricity crisis,14,,,
Marco Luque: Tamo Junto,Stand-Up Comedy,"Eclectic character comedian Marco Luque plays himself in this stand-up special about relationships, regional differences and his own love of movies.",eclectic character comedian marco luque plays himself in this stand up special about relationships regional differences and his own love of movies,17,,,
The Russian Revolution,Documentaries,"Starting in 1881, this film describes how the personal battle between the royal Romanovs and Lenin's Ulyanov family led to the Russian Revolution.",starting in 1881 this film describes how the personal battle between the royal romanovs and lenin s ulyanov family led to the russian revolution,3,,,
Oh, Hello On Broadway,Stand-Up Comedy,"Two delusional geriatrics reveal curious pasts, share a love of tuna and welcome a surprise guest in this filming of the popular Broadway comedy show.",two delusional geriatrics reveal curious pasts share a love of tuna and welcome a surprise guest in this filming of the popular broadway comedy show,6,,
Shimmer Lake,"Dramas, Independent Movies, Thrillers","Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother.",unfolding in reverse time this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects one of whom is his brother,22,,,
The Wishing Tree,"Children & Family Movies, Dramas, Music & Musicals",Five children living on the edge of a forest band together to save a magical wishing tree from destruction and find their own paths to happiness.,five children living on the edge of a forest band together to save a magical wishing tree from destruction and find their own paths to happiness,9,,,
Headshot,"Action & Adventure, International Movies","When a young man wakes from a coma, memories of brutal violence begin to surface, putting his life â€“ and that of his doctor â€“ in jeopardy.",when a young man wakes from a coma memories of brutal violence begin to surface putting his life â€“ and that of his doctor â€“ in jeopardy,0,,,
